Time (s),q1_values_deg,q2_values_deg,q3_values_mm
0.0,-2.609852095490508,4.766324910649623,-2.4760765145275464e-05
0.01,-3.805509962084879,7.152593640834057,-2.5009274991098988e-05
0.02,-4.725550721708434,8.988096100318264,-2.5230556448255018e-05
0.03,-5.515311743029177,10.563500719681688,-2.5425015910604256e-05
0.04,-6.226125374187106,11.9814659895564,-2.5593059772007412e-05
0.05,-6.883064275421881,13.292131121887572,-2.5735094426325195e-05
0.06,-7.500514415189403,14.524262038256447,-2.585152626741831e-05
0.07,-8.087588103025052,15.69607743177722,-2.594276168914747e-05
0.08,-8.650460423846582,16.819921631949665,-2.6009207085373383e-05
0.09,-9.193527229231336,17.90458058353295,-2.605126884995676e-05
0.1,-9.72003765483447,18.95654687777026,-2.6069353376758316e-05
0.11,-10.232465605184494,19.980762718433034,-2.6063867059638742e-05
0.12,-10.732740587505392,20.981081585979933,-2.603521629245876e-05
0.13,-11.222397777510498,21.960568365717336,-2.5983807469079073e-05
0.14,-11.702679261475286,22.921701828572367,-2.5910046983360403e-05
0.15,-12.17460448832551,23.866515531948078,-2.5814341229163436e-05
0.16,-12.639020601707601,24.796698480591413,-2.56970966003489e-05
0.17,-13.096639219987223,25.71366868336277,-2.5558719490777505e-05
0.18,-13.548063846314887,26.61862797018181,-2.539961629430995e-05
0.19,-13.993810650934494,27.512603553498572,-2.5220193404806946e-05
0.2,-14.434324470418293,28.39648002365386,-2.5020857216129196e-05
0.21,-14.86999129314244,29.271024316754495,-2.4802014122137427e-05
0.22,-15.301148122140692,30.136905437336047,-2.4564070516692336e-05
0.23,-15.728090852330494,30.994710209798576,-2.4307432793654626e-05
0.24,-16.151080624873043,31.844955984136284,-2.4032507346885e-05
0.25,-16.57034899982327,32.68810097827034,-2.373970057024419e-05
0.26,-16.986102201949592,33.524552766741884,-2.3429418857592906e-05
0.27,-17.39852463248181,34.3546753012801,-2.3102068602791847e-05
0.28,-17.80778179420191,35.1787947580719,-2.2758056199701713e-05
0.29,-18.21402274378344,35.99720443954256,-2.2397788042183228e-05
0.3,-18.617382160230424,36.81016890834697,-2.2021670524097083e-05
0.31,-19.017982099338084,37.61792749341368,-2.1630110039303995e-05
0.32,-19.41593348965332,38.42069727899542,-2.122351298166469e-05
0.33,-19.81133741428745,39.218675665429025,-2.0802285745039848e-05
0.34,-20.204286214294374,40.012042573028864,-2.036683472329019e-05
0.35000000000000003,-20.594864442562876,40.80096234700916,-1.9917566310276433e-05
0.36,-20.98314969183415,41.58558541065511,-1.945488689985929e-05
0.37,-21.369213316216904,42.366049705485814,-1.8979202885899462e-05
0.38,-21.75312106218317,43.14248195037272,-1.8490920662257637e-05
0.39,-22.134933622299044,43.91499874612049,-1.7990446622794567e-05
0.4,-22.514707122737285,44.68370754760178,-1.7478187161370926e-05
0.41000000000000003,-22.892493553821737,45.448707521944236,-1.6954548671847435e-05
0.42,-23.268341151382725,46.21009030832563,-1.6419937548084794e-05
0.43,-23.64229473549423,46.96794069251715,-1.5874760183943718e-05
0.44,-24.014396012163644,47.72233720731439,-1.531942297328493e-05
0.45,-24.38468384271689,48.47335266833949,-1.4754332309969121e-05
0.46,-24.753194484929914,49.22105465331498,-1.4179894587857013e-05
0.47000000000000003,-25.119961809379294,49.96550593175242,-1.35965162008093e-05
0.48,-25.4850174939992,50.706764851028694,-1.3004603542686687e-05
0.49,-25.848391199421318,51.44488568400133,-1.2404563007349927e-05
0.5,-26.210110727328512,52.17991894262231,-1.1796800988659663e-05
0.51,-26.570202163757,52.91191166141819,-1.1181723880476672e-05
0.52,-26.928690009032834,53.640907654206366,-1.0559738076661622e-05
0.53,-27.285597295811538,54.36694774698299,-9.931249971075188e-06
0.54,-27.64094569650806,55.090069989555325,-9.296665957578166e-06
0.55,-27.994755621244792,55.81030984817207,-8.656392430031193e-06
0.56,-28.347046307308915,56.527700381132306,-8.010835782295022e-06
0.5700000000000001,-28.697835900993827,57.242272399120736,-7.3604024082303245e-06
0.58,-29.047141532595738,57.954054611809724,-6.705498701697821e-06
0.59,-29.39497938524855,58.66307376209214,-6.046531056558255e-06
0.6,-29.741364758202614,59.36935474915489,-5.383905866672309e-06
0.61,-30.08631212508599,60.07292074146805,-4.7180295259006635e-06
0.62,-30.42983518762652,60.77379328064492,-4.049308428104062e-06
0.63,-30.77194692526283,61.47199237702684,-3.378148967143248e-06
0.64,-31.112659641025903,62.16753659775472,-2.7049575368788344e-06
0.65,-31.451985004032615,62.86044314800814,-2.0301405311716123e-06
0.66,-31.78993408889835,63.55072794602424,-1.3541043438822632e-06
0.67,-32.126517412343674,64.23840569244489,-6.772553688714827e-07
0.68,-32.46174496724237,64.92348993448473,0.0
0.6900000000000001,-32.79562625433448,65.60599312536577,6.772553688714809e-07
0.7000000000000001,-33.128170311805235,66.28592667941835,1.3541043438822529e-06
0.71,-33.459385742911635,66.96330102321058,2.030140531171607e-06
0.72,-33.78928074182177,67.63812564303427,2.704957536878834e-06
0.73,-34.11786311781544,68.31040912904317,3.378148967143226e-06
0.74,-34.445140317981725,68.98015921631288,4.049308428104072e-06
0.75,-34.77111944853623,69.64738282306631,4.718029525900665e-06
0.76,-35.095807294870085,70.31208608628705,5.383905866672295e-06
0.77,-35.41921034043231,70.97427439492265,6.046531056558253e-06
0.78,-35.74133478453852,71.63395242086166,6.705498701697831e-06
0.79,-36.06218655919081,72.29112414785277,7.360402408230319e-06
0.8,-36.38177134498617,72.94579289851949,8.010835782295009e-06
0.81,-36.70009458618469,73.59796135961095,8.65639243003119e-06
0.8200000000000001,-37.01716150500191,74.24763160561642,9.296665957578156e-06
0.8300000000000001,-37.332977115185585,74.89480512086251,9.931249971075198e-06
0.84,-37.647546234930864,75.53948282019991,1.0559738076661588e-05
0.85,-37.9608734991845,76.1816650683794,1.1181723880476652e-05
0.86,-38.27296337138413,76.82135169820816,1.1796800988659662e-05
0.87,-38.583820154674896,77.45854202756982,1.240456300734991e-05
0.88,-38.89344800264299,78.09323487538596,1.300460354268669e-05
0.89,-39.20185092960155,78.72542857658965,1.3596516200809287e-05
0.9,-39.50903282046259,79.3551209961767,1.4179894587857e-05
0.91,-39.81499744022556,79.98230954239536,1.4754332309969113e-05
0.92,-40.11974844311062,80.60699117913028,1.531942297328492e-05
0.93,-40.42328938136287,81.22916243753195,1.5874760183943714e-05
0.9400000000000001,-40.7256237137519,81.8488194269404,1.6419937548084784e-05
0.9500000000000001,-41.02675481378859,82.46595784514626,1.695454867184742e-05
0.96,-41.32668597768009,83.08057298803142,1.7478187161370912e-05
0.97,-41.62542043204185,83.69265975862616,1.7990446622794556e-05
0.98,-41.92296134138432,84.30221267561905,1.849092066225764e-05
0.99,-42.21931181539063,84.90922588135152,1.8979202885899455e-05
1.0,-42.514474916000275,85.51369314932839,1.9454886899859293e-05
1.01,-42.80845366431242,86.11560789127202,1.9917566310276447e-05
1.02,-43.1012510473218,86.7149631637465,2.0366834723290198e-05
1.03,-43.39287002449887,87.31175167437678,2.0802285745039848e-05
1.04,-43.683313534224816,87.90596578768523,2.1223512981664684e-05
1.05,-43.97258450009143,88.49759753056682,2.1630110039303998e-05
1.06,-44.26068583707474,89.08663859742293,2.2021670524097083e-05
1.07,-44.54762045759069,89.67308035497236,2.239778804218322e-05
1.08,-44.833391277440086,90.25691384675649,2.2758056199701713e-05
1.09,-45.11800122164964,90.83812979735487,2.3102068602791843e-05
1.1,-45.40145323021511,91.41671861632625,2.3429418857592906e-05
1.11,-45.68375026375158,91.99267040188924,2.37397005702442e-05
1.12,-45.96489530905579,92.56597494435532,2.4032507346885006e-05
1.1300000000000001,-46.24489138458448,93.1366217293269,2.4307432793654616e-05
1.1400000000000001,-46.523741545851934,93.70459994067173,2.4564070516692323e-05
1.1500000000000001,-46.801448890749754,94.26989846328425,2.4802014122137417e-05
1.16,-47.078016564790985,94.83250588564421,2.5020857216129193e-05
1.17,-47.35344776628019,95.39241050218163,2.522019340480694e-05
1.18,-47.62774575141066,95.94960031545719,2.5399616294309943e-05
1.19,-47.90091383928906,96.50406303816605,2.5558719490777505e-05
1.2,-48.172955416887724,97.05578609497292,2.5697096600348903e-05
1.21,-48.443873943923585,97.60475662418519,2.581434122916344e-05
1.22,-48.71367295766325,98.15096147927208,2.59100469833604e-05
1.23,-48.982356077651595,98.69438723023418,2.5983807469079076e-05
1.24,-49.249927010362384,99.23502016483107,2.6035216292458753e-05
1.25,-49.51638955376763,99.77284628967159,2.606386705963874e-05
1.26,-49.7817476018223,100.30785133117223,2.6069353376758306e-05
1.27,-50.046005148860694,100.84002073638837,2.605126884995676e-05
1.28,-50.309166293899146,101.36933967372292,2.6009207085373383e-05
1.29,-50.57123524484092,101.89579303351677,2.5942761689147468e-05
1.3,-50.83221632257649,102.4193654285247,2.5851526267418306e-05
